bookName,bookPublisher,publishDate,bookPrice,commentScore,commentNum,intro
稻草人手记,北京十月文艺出版社,2009-3,18.00元,8.9,13016,三毛在加纳利群岛上的生活
过于喧嚣的孤独,北京十月文艺出版社,2011-10,22.00元,8.8,10129,我为它而活着，并为写它推迟了我的死亡
你一生的故事,译林出版社,2015-5,36.00元,8.6,19985,特德·姜科幻小说集
美丽新世界,重庆出版社,2005-6,20.00元,8.6,19232,最经典的反乌托邦文学之一
那些回不去的年少时光·终场,江苏文艺出版社,2010-04,23.80元,8.7,17988,青春的逝去并不可怕，可怕的是失去了勇敢地热爱生活的心
强风吹拂,广西师范大学出版社,2015-1-1,39.00元,9.0,9806,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
挪威的森林,上海译文出版社,2007-7,23.00元,8.5,88647,像喜欢春天的熊一样
夏洛的网,上海译文出版社,2004-5,17.00元,8.6,48064,一个蜘蛛和小猪的故事，写给孩子，也写给大人
娱乐至死,广西师范大学出版社,2011-6,29.80元,8.5,32268,一切公众话语都日渐以娱乐的方式出现，一切文化内容都成为娱乐的附庸
佐贺的超级阿嬷,南海出版公司,2007-3,20.00元,8.7,17021,乐观的外婆却总有神奇的办法
规训与惩罚,生活·读书·新知三联书店,2003-1,21.80元,9.2,5669,伴随着惩罚的人性化，自由反而日益丧失了
步履不停,北京联合出版公司,2017-5,36.80元,8.7,22904,人生路上，步履不停，总有那么一点来不及
心是孤独的猎手,上海三联书店,2005-8,25.00元,8.5,28101,镇上有两个哑巴，他们总是在一起
长袜子皮皮,中国少年儿童出版社,1999-3,17.80元,9.0,6963,两个女人的史诗
告白,哈尔滨出版社,2010年6月,26.00元,8.5,9340,不到园林，怎知春色如许
小姨多鹤,作家出版社,2008-4,28.00元,8.6,26720,近乎暴虐的爱与恨
牡丹亭,人民文学出版社,1963-4-1,14.50元,9.0,8377,古典自由主义杰作
呼啸山庄,人民文学出版社,1999-01-01,27.30元,8.4,98941,是教科书，也是通俗易懂的好读物
通往奴役之路,中国社会科学出版社,1997-08-01,16.00,8.8,11932,一个国家只能有一个契约
心理学与生活,人民邮电出版社,2003-10,88.00元,8.8,15473,美国社会心理学的《圣经》
社会契约论,商务印书馆,2003-2-1,18.00元,8.8,12443,十四个影响人类文明的瞬间
社会性动物,华东师范大学出版社,2007-12,45.00元,9.1,7647,上卷讲述美国政治制度，对美国的民主进行社会学分析，下卷以美国为背景发挥其政治哲学和政治社会学思想
论美国的民主,商务印书馆,1989-1-1,60.00,9.2,6590,“我是陆小凤，四条眉毛的陆小凤。”
人类的群星闪耀时,广西师范大学出版社,2004-8,18.00元,8.7,18000,流水滔滔斩不断，情丝百结冲不破
多情剑客无情剑(上、中、下),海天出版社,1991-12-01,49.8,8.7,15569,坚持自己的信念，在贫穷中获得欢乐与友谊
欢乐英雄,珠海出版社,2005-8,28.00元,8.8,12185,仁远乎哉？我欲仁，斯仁至矣
陆小凤传奇,珠海出版社,2005-8,94.00元,8.7,16071,倾听历史的回声
